01/19/2026,Support Name,LINK_ID,ORDER ID,LÍ DO REPRINT,NOTE (TEAM GANGSHEET NOTE LÊN ĐỂ IN),LOẠI ÁO,SIZE,COLOR,HÃNG ÁO,MACHINE #,AI LÀM SAI,LÝ DO LỖI,NOTE,STATUS (GANGSHEET),,Finished date
1,Phoebe,,2481028,Unhold,update ticket 23278,,,,,,,,,completed ,,01/19/2026
2,Phoebe,,2474803,resend - ko nhận đc,RESEND NEW LABEL,,,,,,,,,completed ,,01/19/2026
3,Vinh ,,2482268,"Wrong size, đã fixed",,,,,,,,,,completed ,,01/19/2026
4,Vinh ,,2483904,"Wrong size, đã fixed",,,,,,,,,,completed ,,01/19/2026
5,Vinh ,,2484356,"Wrong size, đã fixed",,,,,,,,,,completed ,,01/19/2026
6,Vinh ,,2484600,"Wrong size, đã fixed",in lại item 1 và 2 RETURN SUPPORT,,,,,,,,,completed ,,01/19/2026
7,Phoebe,,2482096,design trùng màu áo,update ticket 23289,,,,,,,,,completed ,,01/19/2026
8,Phoebe,,2483269,Đổi Design,update ticket 23294,,,,,,,,,completed ,,01/19/2026
9,Phoebe,,2484293,Mockup Lỗi,update ticket #23313,,,,,,,,,completed ,,01/19/2026
10,Phoebe,,2484371,Design Lỗi,update ticket #23314,,,,,,,,,completed ,,01/19/2026
11,Phoebe,,2472767,resend - áo lỗi/ép lỗi,NEW LABEL,,,,,,,,,completed ,,01/19/2026
12,Phoebe,,2471179,resend - áo lỗi/ép lỗi,NEW LABEL,,,,,,,,,completed ,,01/19/2026
13,Hoa,https://qr.pressify.ú/2483990,2483990,mẫu in lỗi,Fix nét tay dày lên,,,,,,,,,completed ,,01/19/2026
14,Hoa,https://qr.pressify.ú/2483988,2483988,mẫu in lỗi,Fix nét tay dày lên,,,,,,,,,completed ,,01/19/2026
15,Hoa,https://qr.pressify.ú/2483991,2483991,mẫu in lỗi,Fix nét tay dày lên,,,,,,,,,completed ,,01/19/2026
16,Hoa,https://qr.pressify.ú/2483329,2483329,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
17,Hoa,https://qr.pressify.ú/2483334,2483334,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
18,Hoa,https://qr.pressify.ú/2482866,2482866,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
19,Hoa,https://qr.pressify.ú/2483243,2483243,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
20,Hoa,https://qr.pressify.ú/2483071,2483071,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
21,Hoa,https://qr.pressify.ú/2483072,2483072,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
22,Hoa,https://qr.pressify.ú/2483868,2483868,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
23,Hoa,https://qr.pressify.ú/2483247,2483247,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
24,Hoa,https://qr.pressify.ú/2483914,2483914,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
25,Hoa,https://qr.pressify.ú/2483098,2483098,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
26,Hoa,https://qr.pressify.ú/2483092,2483092,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
27,Hoa,https://qr.pressify.ú/2482967,2482967,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
28,Hoa,https://qr.pressify.ú/2483975,2483975,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
29,Hoa,https://qr.pressify.ú/2483979,2483979,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
30,Hoa,https://qr.pressify.ú/2483980,2483980,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
31,Hoa,https://qr.pressify.ú/2483983,2483983,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
32,Hoa,https://qr.pressify.ú/2483972,2483972,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
33,Hoa,https://qr.pressify.ú/2483875,2483875,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
34,Hoa,https://qr.pressify.ú/2483253,2483253,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
35,Hoa,https://qr.pressify.ú/2483206,2483206,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
36,Hoa,https://qr.pressify.ú/2483319,2483319,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
37,Hoa,https://qr.pressify.ú/2483341,2483341,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
38,Hoa,https://qr.pressify.ú/2483338,2483338,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
39,Hoa,https://qr.pressify.ú/2483345,2483345,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
40,Hoa,https://qr.pressify.ú/2482779,2482779,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
41,Hoa,https://qr.pressify.ú/2484004,2484004,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
42,Hoa,https://qr.pressify.ú/2482761,2482761,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
43,Hoa,https://qr.pressify.ú/2482769,2482769,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
44,Hoa,https://qr.pressify.ú/2482765,2482765,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
45,Hoa,https://qr.pressify.ú/2482778,2482778,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
46,Hoa,https://qr.pressify.ú/2484003,2484003,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
47,Hoa,https://qr.pressify.ú/2482781,2482781,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
48,Hoa,https://qr.pressify.ú/2482776,2482776,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
49,Hoa,https://qr.pressify.ú/2482773,2482773,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
50,Hoa,https://qr.pressify.ú/2483825,2483825,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
51,Hoa,https://qr.pressify.ú/2479059,2479059,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
52,Hoa,https://qr.pressify.ú/2482858,2482858,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
53,Hoa,https://qr.pressify.ú/2480067,2480067,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
54,Hoa,https://qr.pressify.ú/2481777,2481777,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
55,Hoa,https://qr.pressify.ú/2480800,2480800,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
56,Hoa,https://qr.pressify.ú/2483516,2483516,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
57,Hoa,https://qr.pressify.ú/2481362,2481362,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
58,Hoa,https://qr.pressify.ú/2481834,2481834,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
59,Hoa,https://qr.pressify.ú/2481820,2481820,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
60,Hoa,https://qr.pressify.ú/2484080,2484080,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
61,Hoa,https://qr.pressify.ú/2483723,2483723,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
62,Hoa,https://qr.pressify.ú/2484299,2484299,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
63,Hoa,https://qr.pressify.ú/2483998,2483998,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
64,Hoa,https://qr.pressify.ú/2481661,2481661,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
65,Hoa,https://qr.pressify.ú/2483992,2483992,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
66,Hoa,https://qr.pressify.ú/2480123,2480123,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
67,Hoa,https://qr.pressify.ú/2483740,2483740,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
68,Hoa,https://qr.pressify.ú/2484001,2484001,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
69,Hoa,https://qr.pressify.ú/2483964,2483964,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
70,Hoa,https://qr.pressify.ú/2484109,2484109,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
71,Hoa,https://qr.pressify.ú/2484034,2484034,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
72,Hoa,https://qr.pressify.ú/2483699,2483699,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
73,Hoa,https://qr.pressify.ú/2483853,2483853,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
74,Hoa,https://qr.pressify.ú/2483826,2483826,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
75,Hoa,https://qr.pressify.ú/2483857,2483857,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
76,Hoa,https://qr.pressify.ú/2483831,2483831,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
77,Hoa,https://qr.pressify.ú/2483817,2483817,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
78,Hoa,https://qr.pressify.ú/2483823,2483823,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
79,Hoa,https://qr.pressify.ú/2483845,2483845,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
80,Hoa,https://qr.pressify.ú/2483838,2483838,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
81,Hoa,https://qr.pressify.ú/2483866,2483866,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
82,Hoa,https://qr.pressify.ú/2483827,2483827,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
83,Hoa,https://qr.pressify.ú/2483824,2483824,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
84,Hoa,https://qr.pressify.ú/2483832,2483832,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
85,Hoa,https://qr.pressify.ú/2483833,2483833,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
86,Hoa,https://qr.pressify.ú/2484108,2484108,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
87,Hoa,https://qr.pressify.ú/2482573,2482573,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
88,Hoa,https://qr.pressify.ú/2483815,2483815,mẫu in lỗi,IN HQ,,,,,,,Sọc,,completed ,,01/19/2026
89,Hoa,https://qr.pressify.ú/2483544,2483544,mẫu in lỗi,,,,,,,,mẫu in mất 1 đoạn,,completed ,,01/19/2026
90,Hoa,https://qr.pressify.ú/2483557,2483557,mẫu in lỗi,,,,,,,,mẫu in mất 1 đoạn,,completed ,,01/19/2026
91,Vinh ,https://qr.pressify.ú/2483778,2483778,Design viền mỏng ,"in lại 1 áo T-shirt military XL tăng white base lên, RETURN SUPPORT",,,,,,,viền mỏng,,completed ,,01/19/2026
92,Vinh ,https://qr.pressify.ú/2480455,2480455,Áo lủng,,Hoodie,L,Black,,,,áo lủng back,,completed ,,01/19/2026
93,Vinh ,https://qr.pressify.ú/2483564,2483564,mẫu in lỗi,,,,,,,,mẫu in mất 1 đoạn,,completed ,,01/19/2026
94,Vinh ,https://qr.pressify.ú/2483546,2483546,mẫu in lỗi,,,,,,,,mẫu in mất 1 đoạn,,completed ,,01/19/2026
95,Vinh ,https://qr.pressify.ú/2483028,2483028,Design viền mỏng ,"in lại 2 Sleeve ONLY tăng white base lên, RETURN SUPPORT",,,,,,,viền mỏng,,completed ,,01/19/2026
96,Vinh ,https://qr.pressify.ú/2482860,2482860,Design viền mỏng ,tăng white base lên,,,,,,,viền mỏng,,completed ,,01/19/2026
97,Vinh ,https://qr.pressify.ú/2483791,2483791,pick sai áo,,T shirt,XL,Forest Green,,,Tài,"size 2XL nhưng pick XL,ép ko đọc code",Dunia pick,completed ,,01/19/2026
98,Vinh ,https://qr.pressify.ú/2483943,2483943,Design viền mỏng ,tăng white base lên,T shirt,XL,Forest Green,,,,viền mỏng,,completed ,,01/19/2026
99,Vinh ,https://qr.pressify.ú/2484064,2484064,Design viền mỏng ,"fix nét tay dày lên tí, tăng white base lên ",Hoodie,M,Black,,,,viền mỏng,,completed ,,01/19/2026
